SNR,RMS
1.5,0.0668448479428008
1.464102564102564,0.0680757745800169
1.4282051282051282,0.0686954473310753
1.3923076923076922,0.07290709109377208
1.3564102564102565,0.0766630736548446
1.3205128205128205,0.07444567370575111
1.2846153846153847,0.07786446425943533
1.2487179487179487,0.07728442531038475
1.212820512820513,0.0820478896645937
1.176923076923077,0.08588421816125068
1.141025641025641,0.08300155518189714
1.1051282051282052,0.09116437564700194
1.0692307692307692,0.09326798901081021
1.0333333333333334,0.09538756963918507
0.9974358974358974,0.09690105944680838
0.9615384615384616,0.10286849938527758
0.9256410256410257,0.10271931433284366
0.8897435897435898,0.10851240656258074
0.8538461538461539,0.11542475438121663
0.817948717948718,0.12152752859759676
0.7820512820512822,0.12523921863278317
0.7461538461538462,0.1331410207662912
0.7102564102564103,0.1391812732271252
0.6743589743589744,0.14597471030052742
0.6384615384615385,0.15886660773080197
0.6025641025641026,0.16610560321294468
0.5666666666666668,0.17289506489234985
0.5307692307692309,0.18747619298680387
0.4948717948717949,0.19346813489423423
0.4589743589743591,0.21323981416408339
0.42307692307692313,0.23939602903198842
0.38717948717948736,0.2525252375206087
0.35128205128205137,0.275377281825733
0.3153846153846154,0.30208758484918896
0.2794871794871796,0.33556067943585893
0.2435897435897436,0.3884068109287928
0.20769230769230784,0.4376714064827176
0.17179487179487185,0.5239877178840089
0.13589743589743608,2.070833448259736
0.1,2.474247562252403
